BusinessTravel,Department,EducationField,JobRole,MaritalStatus,OverTime,Attrition
Travel_Rarely,Sales,Life Sciences,Sales Executive,Single,Yes,Yes
Travel_Frequently,Research & Development,Life Sciences,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Other,Laboratory Technician,Single,Yes,Yes
Travel_Frequently,Research & Development,Life Sciences,Research Scientist,Married,Yes,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,No,No
Travel_Frequently,Research & Development,Life Sciences,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,Yes,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,No,No
Travel_Frequently,Research & Development,Life Sciences,Manufacturing Director,Single,No,No
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,No,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,Yes,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Divorced,No,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Research & Development,Life Sciences,Manufacturing Director,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Divorced,Yes,No
Non-Travel,Research & Development,Medical,Laboratory Technician,Divorced,Yes,No
Travel_Rarely,Sales,Life Sciences,Manager,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Single,Yes,No
Non-Travel,Research & Development,Other,Manufacturing Director,Divorced,No,No
Travel_Rarely,Sales,Life Sciences,Sales Representative,Single,No,Yes
Travel_Rarely,Research & Development,Life Sciences,Research Director,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Single,No,No
Travel_Rarely,Research & Development,Medical,Research Scientist,Single,No,Yes
Travel_Rarely,Research & Development,Other,Manager,Divorced,No,No
Travel_Frequently,Research & Development,Life Sciences,Research Scientist,Single,Yes,Yes
Travel_Rarely,Sales,Marketing,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,No,No
Travel_Rarely,Sales,Marketing,Manager,Single,No,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Other,Healthcare Representative,Married,Yes,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Single,No,No
Travel_Rarely,Sales,Technical Degree,Sales Representative,Married,No,Yes
Travel_Rarely,Research & Development,Medical,Research Scientist,Married,Yes,Yes
Travel_Rarely,Research & Development,Medical,Research Scientist,Divorced,No,No
Travel_Rarely,Sales,Marketing,Sales Representative,Married,Yes,Yes
Travel_Rarely,Sales,Marketing,Sales Representative,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Married,Yes,No
Travel_Frequently,Sales,Life Sciences,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Other,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,No,Yes
Travel_Frequently,Sales,Life Sciences,Sales Executive,Single,No,No
Travel_Frequently,Research & Development,Medical,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Technical Degree,Research Director,Married,No,Yes
Non-Travel,Sales,Marketing,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Married,No,No
Travel_Frequently,Sales,Marketing,Sales Executive,Single,Yes,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Research & Development,Technical Degree,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Sales,Marketing,Sales Executive,Divorced,Yes,No
Non-Travel,Research & Development,Medical,Healthcare Representative,Married,Yes,No
Travel_Rarely,Sales,Marketing,Sales Executive,Married,Yes,No
Travel_Frequently,Research & Development,Life Sciences,Research Director,Single,Yes,No
Travel_Frequently,Sales,Life Sciences,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Medical,Laboratory Technician,Married,Yes,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,Manufacturing Director,Divorced,No,No
Travel_Rarely,Research & Development,Medical,Manufacturing Director,Married,Yes,No
Travel_Frequently,Research & Development,Life Sciences,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Medical,Research Director,Divorced,Yes,No
Travel_Rarely,Sales,Life Sciences,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Divorced,No,No
Travel_Rarely,Research & Development,Medical,Manager,Divorced,Yes,No
Travel_Frequently,Research & Development,Life Sciences,Manufacturing Director,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Divorced,No,No
Travel_Frequently,Research & Development,Medical,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Medical,Research Scientist,Married,Yes,Yes
Travel_Frequently,Sales,Life Sciences,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Medical,Research Scientist,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Laboratory Technician,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,Manufacturing Director,Single,No,No
Travel_Rarely,Sales,Marketing,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Other,Research Director,Married,Yes,No
