Age,DailyRate,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Attrition
41,1102,1,2,3,2,4,5993,0,8,0,1,6,4,5,Yes
49,279,8,3,2,2,2,5130,1,10,3,3,10,7,7,No
37,1373,2,4,2,1,3,2090,0,7,3,3,0,0,0,Yes
33,1392,3,4,3,1,3,2909,0,8,3,3,8,7,0,No
27,591,2,1,3,1,2,3468,1,6,3,3,2,2,2,No
32,1005,2,4,3,1,4,3068,0,8,2,2,7,7,6,No
59,1324,3,3,4,1,1,2670,3,12,3,2,1,0,0,No
30,1358,24,4,3,1,3,2693,1,1,2,3,1,0,0,No
38,216,23,4,2,3,3,9526,0,10,2,3,9,7,8,No
36,1299,27,3,3,2,3,5237,2,17,3,2,7,7,7,No
35,809,16,1,4,1,2,2426,1,6,5,3,5,4,3,No
29,153,15,4,2,2,3,4193,0,10,3,3,9,5,8,No
31,670,26,1,3,1,3,2911,1,5,1,2,5,2,3,No
34,1346,19,2,3,1,4,2661,1,3,2,3,2,2,2,No
28,103,24,3,2,1,3,2028,0,6,4,3,4,2,3,Yes
29,1389,21,2,4,3,1,9980,1,10,1,3,10,9,8,No
32,334,5,1,4,1,2,3298,2,7,5,2,6,2,5,No
22,1123,16,4,4,1,4,2935,2,1,2,2,1,0,0,No
53,1219,2,1,2,4,4,15427,0,31,3,3,25,8,7,No
38,371,2,4,3,1,4,3944,0,6,3,3,3,2,2,No
24,673,11,1,4,2,3,4011,1,5,5,2,4,2,3,No
36,1218,9,3,2,1,1,3407,0,10,4,3,5,3,3,Yes
34,419,7,1,3,3,2,11994,0,13,4,3,12,6,11,No
21,391,15,3,3,1,4,1232,0,0,6,3,0,0,0,No
34,699,6,2,3,1,1,2960,0,8,2,3,4,2,3,Yes
53,1282,5,3,3,5,3,19094,1,26,3,2,14,13,8,No
32,1125,16,2,1,1,1,3919,0,10,5,3,10,2,7,Yes
42,691,8,3,3,2,2,6825,1,10,2,3,9,7,2,No
44,477,7,1,2,3,4,10248,1,24,4,3,22,6,17,No
46,705,2,2,3,5,1,18947,0,22,2,2,2,2,1,No
33,924,2,3,3,1,4,2496,0,7,3,3,1,1,0,No
44,1459,10,4,3,2,4,6465,0,9,5,4,4,2,3,No
30,125,9,4,2,1,3,2206,0,10,5,3,10,0,8,No
39,895,5,4,3,2,4,2086,1,19,6,4,1,0,0,Yes
24,813,1,2,3,1,4,2293,1,6,2,2,2,0,0,Yes
43,1273,2,4,4,1,3,2645,2,6,3,2,5,3,4,No
50,869,3,1,2,1,3,2683,0,3,2,3,3,2,2,Yes
35,890,2,4,3,1,4,2014,0,2,3,3,2,2,2,No
36,852,5,2,2,1,1,3419,1,6,3,4,1,1,0,No
33,1141,1,3,4,2,1,5376,2,10,3,3,5,3,3,No
35,464,4,3,3,1,4,1951,1,1,3,3,1,0,0,No
27,1240,2,4,3,1,1,2341,1,1,6,3,1,0,0,No
26,1357,25,1,1,1,3,2293,0,1,2,2,1,0,1,Yes
27,994,8,4,3,3,3,8726,0,9,0,3,9,8,7,No
30,721,1,3,3,2,4,4011,0,12,2,3,12,8,7,No
41,1360,12,2,3,5,3,19545,0,23,0,3,22,15,8,Yes
34,1065,23,2,3,2,3,4568,0,10,2,3,9,5,7,No
37,408,19,2,3,1,2,3022,0,8,1,3,1,0,0,No
46,1211,5,1,3,2,4,5772,0,14,4,3,9,6,8,No
35,1229,8,4,4,1,4,2269,0,1,2,3,1,0,1,No
48,626,1,1,2,3,3,5381,0,23,2,3,1,0,0,Yes
28,1434,5,3,3,1,3,3441,0,2,3,2,2,2,2,Yes
44,1488,1,2,3,2,1,5454,1,9,2,2,4,3,3,No
35,1097,11,3,2,3,1,9884,1,10,3,3,4,0,3,No
26,1443,23,3,2,2,4,4157,1,5,2,2,2,2,0,No
33,515,1,1,3,3,4,13458,0,15,1,3,15,14,12,No
35,853,18,2,3,3,1,9069,1,9,3,2,9,8,8,No
35,1142,23,3,3,1,1,4014,1,4,3,3,2,2,2,No
31,655,7,4,3,2,4,5915,1,10,3,2,7,7,7,No
37,1115,1,1,2,2,3,5993,1,7,2,4,7,5,7,No
32,427,1,1,3,2,4,6162,1,9,3,3,9,8,8,No
38,653,29,4,3,2,4,2406,0,10,2,3,10,3,9,No
50,989,7,2,2,5,3,18740,1,29,2,2,27,3,8,No
59,1435,25,1,3,3,1,7637,0,28,3,2,21,16,9,No
36,1223,8,3,3,3,3,10096,3,17,2,3,17,14,8,No
55,836,8,4,3,4,3,14756,3,21,2,3,5,0,2,No
36,1195,11,2,2,2,2,6499,0,6,3,3,6,5,3,No
45,1339,7,2,3,3,1,9724,1,25,2,3,1,0,0,No
35,664,1,2,3,1,1,2194,1,5,2,2,3,2,2,No
36,318,9,4,2,1,3,3388,1,2,0,2,1,0,0,Yes
59,1225,1,1,2,2,3,5473,0,20,2,2,4,3,3,No
29,1328,2,3,3,1,2,2703,1,6,3,3,5,4,4,No
31,1082,1,3,3,1,2,2501,0,1,4,3,1,1,0,No
32,548,1,2,3,2,2,6220,2,10,3,3,10,4,9,No
36,132,6,2,4,1,4,3038,0,5,3,3,1,0,0,No
31,746,8,3,3,2,4,4424,0,11,2,3,11,7,8,No
35,776,1,3,2,2,1,4312,0,16,2,3,15,13,8,No
45,193,6,4,3,3,1,13245,0,17,3,4,0,0,0,No
37,397,7,1,3,3,3,13664,0,16,3,4,5,2,2,No
46,945,5,2,3,2,2,5021,1,16,2,3,4,2,2,No
30,852,1,4,2,2,4,5126,2,10,1,2,10,8,0,No
35,1214,1,2,2,1,3,2859,0,6,3,3,6,4,4,No
55,111,1,1,3,3,4,10239,1,24,4,3,1,0,0,No
38,573,6,2,1,2,4,5329,3,17,3,3,13,11,9,No
34,1153,1,1,3,2,2,4325,0,5,2,3,5,2,3,No
56,1400,7,4,1,3,4,7260,0,37,3,2,6,4,2,No
23,541,2,3,3,1,1,2322,1,3,3,3,0,0,0,No
51,432,9,4,3,1,4,2075,2,10,4,3,4,2,3,No
30,288,2,3,2,2,4,4152,3,11,3,3,11,10,8,No
46,669,9,3,2,3,4,9619,0,9,3,3,9,8,7,Yes
40,530,1,3,2,4,2,13503,1,22,3,2,22,3,11,No
51,632,21,3,3,2,4,5441,0,11,2,1,10,7,0,No
30,1334,4,3,2,2,2,5209,3,11,4,2,11,8,7,No
46,638,1,3,2,3,1,10673,1,21,5,2,10,9,5,No
32,1093,6,2,3,2,3,5010,0,12,0,3,11,8,7,No
54,1217,2,1,3,3,3,13549,1,16,5,1,4,3,3,No
24,1353,3,1,3,2,3,4999,1,4,2,2,3,2,2,No
28,120,4,2,3,2,3,4221,0,5,3,4,5,4,4,No
58,682,10,4,3,4,3,13872,0,38,1,2,37,10,8,No
44,489,23,2,3,2,2,2042,1,17,3,4,3,2,2,No
37,807,6,3,3,1,1,2073,0,7,3,3,3,2,2,Yes
32,827,1,4,3,1,1,2956,0,1,2,3,1,0,0,No
20,871,6,4,2,1,4,2926,0,1,5,3,1,0,0,Yes
